planID,studentID,courseID,attemptNum,failureType,status,recoveryGrade,createdDate,lastUpdated,recommendation
RP0011,S012,HM209,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Quinn Chen is advised to focus on both coursework and examination for HM209. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0012,S017,CS305,1,Exam Only,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Joel Johnson is advised to focus on exam preparation for CS305 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0013,S001,ME103,2,Exam Only,IN_PROGRESS,,2025-12-02 17:51:29,2025-12-02 18:11:37,Student Fiona Smith is advised to focus on exam preparation for ME103 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 2  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0014,S001,ME103,2,Exam Only,IN_PROGRESS,,2025-12-02 17:52:33,2025-12-02 18:11:37,Student Fiona Smith is advised to focus on exam preparation for ME103 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 2  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0015,S001,ME103,2,Exam Only,IN_PROGRESS,,2025-12-02 18:09:29,2025-12-02 18:11:37,Student Fiona Smith is advised to focus on exam preparation for ME103 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 2  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0016,S004,ME107,1,Assignment Only,IN_PROGRESS,,2025-12-02 18:09:38,2025-12-02 18:11:37,Student Evia Cheng is advised to focus on improving assignment performance for ME107 by attending consultation  revising feedback  and submitting higher quality written work. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0017,S006,HM102,3,Assignment Only,IN_PROGRESS,,2025-12-02 18:09:41,2025-12-02 18:11:37,Student Quinn Chen is advised to focus on improving assignment performance for HM102 by attending consultation  revising feedback  and submitting higher quality written work. Since this is attempt 3  a full course retake is recommended with close monitoring of progress.
RP0018,S007,ME202,1,Both Components,IN_PROGRESS,,2025-12-02 18:09:49,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME202. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0019,S007,ME203,1,Both Components,IN_PROGRESS,,2025-12-02 18:09:52,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME203. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0020,S007,ME204,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:01,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME204. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0021,S007,ME205,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:04,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME205. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0022,S010,ME206,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:13,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME206. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0023,S010,ME207,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:16,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME207. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0024,S010,ME208,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:24,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME208. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0025,S012,HM209,1,Both Components,IN_PROGRESS,,2025-12-02 18:10:27,2025-12-02 18:11:37,Student Quinn Chen is advised to focus on both coursework and examination for HM209. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0026,S017,CS305,1,Exam Only,IN_PROGRESS,,2025-12-02 18:10:35,2025-12-02 18:11:37,Student Joel Johnson is advised to focus on exam preparation for CS305 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0027,S001,ME103,2,Exam Only,IN_PROGRESS,,2025-12-02 18:11:37,2025-12-02 18:11:37,Student Fiona Smith is advised to focus on exam preparation for ME103 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 2  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0028,S004,ME107,1,Assignment Only,IN_PROGRESS,,2025-12-02 18:11:46,2025-12-02 18:11:46,Student Evia Cheng is advised to focus on improving assignment performance for ME107 by attending consultation  revising feedback  and submitting higher quality written work. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0029,S006,HM102,3,Assignment Only,IN_PROGRESS,,2025-12-02 18:11:49,2025-12-02 18:11:49,Student Quinn Chen is advised to focus on improving assignment performance for HM102 by attending consultation  revising feedback  and submitting higher quality written work. Since this is attempt 3  a full course retake is recommended with close monitoring of progress.
RP0030,S007,ME202,1,Both Components,IN_PROGRESS,,2025-12-02 18:11:57,2025-12-02 18:11:57,Student Oscar Smith is advised to focus on both coursework and examination for ME202. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0031,S007,ME203,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:01,2025-12-02 18:12:01,Student Oscar Smith is advised to focus on both coursework and examination for ME203. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0032,S007,ME204,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:09,2025-12-02 18:12:09,Student Oscar Smith is advised to focus on both coursework and examination for ME204. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0033,S007,ME205,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:12,2025-12-02 18:12:12,Student Oscar Smith is advised to focus on both coursework and examination for ME205. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0034,S010,ME206,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:21,2025-12-02 18:12:21,Student Charlie Miller is advised to focus on both coursework and examination for ME206. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0035,S010,ME207,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:24,2025-12-02 18:12:24,Student Charlie Miller is advised to focus on both coursework and examination for ME207. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0036,S010,ME208,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:32,2025-12-02 18:12:32,Student Charlie Miller is advised to focus on both coursework and examination for ME208. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0037,S012,HM209,1,Both Components,IN_PROGRESS,,2025-12-02 18:12:35,2025-12-02 18:12:35,Student Quinn Chen is advised to focus on both coursework and examination for HM209. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0038,S017,CS305,1,Exam Only,IN_PROGRESS,,2025-12-02 18:12:44,2025-12-02 18:12:44,Student Joel Johnson is advised to focus on exam preparation for CS305 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
